gene_callers_id	NCBI_RefSeq_Protein_Accession
255	CAI3927464.1
256	CAI3927482.1
257	CAI3927500.1
258	CAI3927519.1
259	CAI3927537.1
260	CAI3927555.1
261	CAI3927573.1
262	CAI3927591.1
263	CAI3927608.1
264	CAI3927627.1
265	CAI3927644.1
266	CAI3927661.1
267	CAI3927678.1
268	CAI3927695.1
269	CAI3927715.1
270	CAI3927733.1
271	CAI3927750.1
272	CAI3927767.1
273	CAI3927784.1
274	CAI3927801.1
275	CAI3927819.1
276	CAI3927837.1
277	CAI3927854.1
278	CAI3927872.1
279	CAI3927891.1
280	CAI3927909.1
281	CAI3927917.1
282	CAI3927937.1
283	CAI3927956.1
284	CAI3927976.1
285	CAI3927993.1
286	CAI3928011.1
287	CAI3928030.1
288	CAI3928047.1
289	CAI3928065.1
290	CAI3928083.1
291	CAI3928100.1
292	CAI3928117.1
293	CAI3928135.1
294	CAI3928152.1
295	CAI3928169.1
296	CAI3928186.1
297	CAI3928221.1
298	CAI3928238.1
299	CAI3928256.1
300	CAI3928274.1
301	CAI3928293.1
302	CAI3928310.1
303	CAI3928328.1
304	CAI3928336.1
305	CAI3928339.1
306	CAI3928359.1
307	CAI3928377.1
308	CAI3928395.1
309	CAI3927099.1
310	CAI3928432.1
311	CAI3928436.1
312	CAI3928453.1
313	CAI3928470.1
314	CAI3928487.1
315	CAI3928489.1
316	CAI3928524.1
317	CAI3928560.1
318	CAI3928577.1
319	CAI3928594.1
320	CAI3928611.1
321	CAI3928628.1
322	CAI3928645.1
323	CAI3928662.1
324	CAI3928680.1
325	CAI3928700.1
326	CAI3928717.1
327	CAI3928734.1
328	CAI3928771.1
329	CAI3928788.1
330	CAI3928806.1
331	CAI3928824.1
332	CAI3928826.1
333	CAI3928844.1
334	CAI3928847.1
335	CAI3926119.1
336	CAI3928881.1
337	CAI3928901.1
338	CAI3928919.1
339	CAI3928936.1
340	CAI3928955.1
341	CAI3928972.1
342	CAI3928989.1
343	CAI3929006.1
344	CAI3929024.1
345	CAI3929041.1
346	CAI3929058.1
347	CAI3929076.1
348	CAI3929093.1
349	CAI3929110.1
350	CAI3929127.1
351	CAI3929145.1
352	CAI3929163.1
353	CAI3929181.1
354	CAI3929199.1
355	CAI3929216.1
356	CAI3929236.1
357	CAI3929253.1
358	CAI3929271.1
359	CAI3929289.1
360	CAI3929306.1
361	CAI3929323.1
362	CAI3929342.1
363	CAI3929359.1
364	CAI3929376.1
365	CAI3929393.1
366	CAI3929410.1
367	CAI3929428.1
368	CAI3929445.1
369	CAI3929463.1
370	CAI3929481.1
371	CAI3929498.1
372	CAI3929515.1
373	CAI3929533.1
374	CAI3929551.1
375	CAI3929568.1
376	CAI3929575.1
378	CAI3929592.1
379	CAI3929594.1
380	CAI3929613.1
381	CAI3929630.1
382	CAI3929649.1
383	CAI3929667.1
384	CAI3929685.1
385	CAI3929704.1
386	CAI3929721.1
387	CAI3929739.1
388	CAI3929756.1
389	CAI3929775.1
390	CAI3929792.1
391	CAI3929812.1
392	CAI3929829.1
393	CAI3929846.1
394	CAI3929863.1
395	CAI3929880.1
396	CAI3929897.1
397	CAI3929915.1
398	CAI3929932.1
399	CAI3929950.1
400	CAI3929967.1
401	CAI3926119.1
402	CAI3930001.1
403	CAI3930018.1
404	CAI3930036.1
405	CAI3930055.1
406	CAI3930072.1
407	CAI3930089.1
408	CAI3930107.1
409	CAI3930126.1
410	CAI3930143.1
411	CAI3930160.1
413	CAI3923595.1
414	CAI3930197.1
415	CAI3930216.1
416	CAI3930235.1
417	CAI3930252.1
418	CAI3930269.1
419	CAI3930286.1
420	CAI3930304.1
421	CAI3930321.1
422	CAI3930338.1
423	CAI3930355.1
424	CAI3930373.1
425	CAI3930391.1
426	CAI3930409.1
427	CAI3930426.1
428	CAI3930442.1
429	CAI3930459.1
430	CAI3930476.1
431	CAI3930493.1
432	CAI3930509.1
433	CAI3930526.1
434	CAI3930544.1
435	CAI3930562.1
436	CAI3930580.1
437	CAI3930599.1
438	CAI3930617.1
439	CAI3930635.1
440	CAI3930653.1
441	CAI3930671.1
443	CAI3930688.1
445	CAI3930705.1
446	CAI3930723.1
447	CAI3930740.1
448	CAI3930757.1
449	CAI3930775.1
450	CAI3930793.1
451	CAI3930810.1
452	CAI3930828.1
453	CAI3930845.1
454	CAI3930863.1
455	CAI3930881.1
456	CAI3930898.1
457	CAI3930917.1
458	CAI3930934.1
459	CAI3930952.1
460	CAI3930969.1
461	CAI3930988.1
462	CAI3931005.1
463	CAI3931010.1
464	CAI3931028.1
465	CAI3931046.1
466	CAI3931063.1
467	CAI3931080.1
468	CAI3931099.1
469	CAI3931117.1
470	CAI3931134.1
471	CAI3931153.1
472	CAI3931170.1
473	CAI3931188.1
474	CAI3931206.1
475	CAI3931225.1
476	CAI3931243.1
477	CAI3931261.1
478	CAI3931279.1
479	CAI3931298.1
480	CAI3931316.1
481	CAI3931334.1
482	CAI3931351.1
483	CAI3931370.1
484	CAI3931387.1
485	CAI3931404.1
486	CAI3931416.1
487	CAI3931433.1
488	CAI3931453.1
489	CAI3931471.1
490	CAI3931490.1
491	CAI3931495.1
492	CAI3931512.1
493	CAI3931530.1
494	CAI3931548.1
495	CAI3931567.1
496	CAI3931584.1
497	CAI3926119.1
498	CAI3931615.1
499	CAI3931633.1
500	CAI3931650.1
501	CAI3931667.1
502	CAI3931685.1
503	CAI3931702.1
504	CAI3931721.1
505	CAI3931738.1
506	CAI3931755.1
507	CAI3931772.1
508	CAI3931790.1
509	CAI3931808.1
510	CAI3931826.1
511	CAI3931843.1
512	CAI3931860.1
513	CAI3931877.1
514	CAI3931894.1
515	CAI3931912.1
516	CAI3931930.1
517	CAI3931947.1
518	CAI3931964.1
519	CAI3931981.1
520	CAI3931999.1
521	CAI3932016.1
522	CAI3932033.1
523	CAI3932050.1
524	CAI3932066.1
525	CAI3932083.1
526	CAI3932100.1
527	CAI3932117.1
528	CAI3932135.1
529	CAI3932152.1
530	CAI3932169.1
531	CAI3932187.1
532	CAI3932205.1
533	CAI3932223.1
534	CAI3932240.1
535	CAI3932260.1
536	CAI3932277.1
537	CAI3932295.1
538	CAI3932312.1
539	CAI3932329.1
540	CAI3932347.1
541	CAI3932366.1
542	CAI3932383.1
543	CAI3932403.1
544	CAI3932421.1
545	CAI3932438.1
546	CAI3932455.1
547	CAI3932472.1
548	CAI3932489.1
549	CAI3932506.1
550	CAI3932524.1
551	CAI3932543.1
552	CAI3932560.1
553	CAI3932579.1
554	CAI3932597.1
555	CAI3932615.1
556	CAI3932633.1
557	CAI3932651.1
558	CAI3932660.1
559	CAI3932669.1
560	CAI3932686.1
561	CAI3932705.1
562	CAI3932723.1
563	CAI3932741.1
564	CAI3932758.1
565	CAI3932777.1
566	CAI3932794.1
567	CAI3932811.1
568	CAI3932829.1
569	CAI3932846.1
570	CAI3932863.1
571	CAI3932881.1
572	CAI3932898.1
573	CAI3932916.1
574	CAI3932933.1
575	CAI3932951.1
576	CAI3932968.1
577	CAI3932985.1
578	CAI3933004.1
579	CAI3933023.1
580	CAI3933040.1
581	CAI3933057.1
582	CAI3933073.1
583	CAI3933091.1
584	CAI3933108.1
585	CAI3933128.1
586	CAI3933145.1
587	CAI3933164.1
588	CAI3933181.1
589	CAI3933191.1
590	CAI3933208.1
591	CAI3933225.1
592	CAI3933244.1
593	CAI3933261.1
594	CAI3933278.1
595	CAI3933297.1
596	CAI3933309.1
597	CAI3933326.1
598	CAI3933343.1
599	CAI3933361.1
600	CAI3933380.1
601	CAI3933397.1
602	CAI3933414.1
603	CAI3933435.1
604	CAI3933454.1
605	CAI3933471.1
606	CAI3933488.1
607	CAI3933507.1
608	CAI3933524.1
609	CAI3933542.1
610	CAI3933559.1
611	CAI3933576.1
612	CAI3933593.1
613	CAI3933610.1
614	CAI3933628.1
615	CAI3933647.1
616	CAI3933665.1
617	CAI3933682.1
618	CAI3933699.1
619	CAI3933716.1
620	CAI3933733.1
621	CAI3933750.1
622	CAI3933768.1
623	CAI3933785.1
624	CAI3933802.1
625	CAI3933819.1
626	CAI3933838.1
627	CAI3933855.1
628	CAI3933872.1
629	CAI3933889.1
630	CAI3933907.1
631	CAI3933925.1
632	CAI3933944.1
633	CAI3933961.1
634	CAI3933979.1
635	CAI3933997.1
636	CAI3934014.1
637	CAI3934032.1
638	CAI3934050.1
639	CAI3934067.1
640	CAI3934085.1
641	CAI3934102.1
642	CAI3934120.1
643	CAI3934138.1
644	CAI3934157.1
645	CAI3934174.1
646	CAI3934191.1
647	CAI3934209.1
648	CAI3934227.1
649	CAI3934244.1
650	CAI3934263.1
651	CAI3934272.1
652	CAI3934289.1
653	CAI3934307.1
654	CAI3934324.1
655	CAI3934341.1
656	CAI3934359.1
657	CAI3934379.1
658	CAI3934397.1
659	CAI3934414.1
660	CAI3934431.1
661	CAI3934450.1
662	CAI3934467.1
663	CAI3934486.1
665	CAI3934504.1
666	CAI3934521.1
667	CAI3934539.1
668	CAI3934555.1
669	CAI3934575.1
670	CAI3934592.1
671	CAI3934609.1
672	CAI3934627.1
673	CAI3934644.1
674	CAI3934661.1
675	CAI3934679.1
676	CAI3934697.1
677	CAI3934714.1
678	CAI3934731.1
679	CAI3934748.1
680	CAI3934766.1
681	CAI3934784.1
682	CAI3934801.1
683	CAI3934819.1
684	CAI3934836.1
685	CAI3934847.1
686	CAI3934863.1
687	CAI3934881.1
688	CAI3934898.1
689	CAI3934916.1
690	CAI3934934.1
691	CAI3934952.1
692	CAI3934971.1
693	CAI3934988.1
694	CAI3935009.1
695	CAI3935028.1
696	CAI3935045.1
697	CAI3935063.1
698	CAI3935081.1
699	CAI3935098.1
700	CAI3935116.1
701	CAI3935135.1
702	CAI3935144.1
703	CAI3935161.1
704	CAI3935178.1
705	CAI3935195.1
706	CAI3935214.1
707	CAI3935231.1
708	CAI3935249.1
709	CAI3935266.1
710	CAI3935273.1
711	CAI3935290.1
712	CAI3935307.1
713	CAI3935324.1
714	CAI3935341.1
715	CAI3935359.1
716	CAI3935393.1
717	CAI3935411.1
718	CAI3935429.1
719	CAI3935448.1
720	CAI3935465.1
721	CAI3935482.1
722	CAI3935501.1
723	CAI3935518.1
724	CAI3935536.1
725	CAI3935554.1
726	CAI3935568.1
727	CAI3935585.1
728	CAI3935603.1
729	CAI3935620.1
730	CAI3935639.1
731	CAI3935656.1
732	CAI3935675.1
733	CAI3935692.1
734	CAI3935709.1
735	CAI3935726.1
736	CAI3935744.1
737	CAI3935761.1
738	CAI3935778.1
739	CAI3935795.1
740	CAI3935812.1
741	CAI3935829.1
742	CAI3935846.1
743	CAI3935856.1
744	CAI3935873.1
745	CAI3935878.1
746	CAI3935895.1
747	CAI3935912.1
748	CAI3930688.1
750	CAI3935946.1
751	CAI3935964.1
752	CAI3935983.1
753	CAI3936002.1
754	CAI3936021.1
755	CAI3936039.1
756	CAI3936056.1
757	CAI3936074.1
758	CAI3936093.1
759	CAI3936110.1
760	CAI3936128.1
761	CAI3936146.1
762	CAI3936163.1
763	CAI3936181.1
764	CAI3936198.1
765	CAI3936215.1
766	CAI3936232.1
767	CAI3936249.1
768	CAI3936268.1
769	CAI3936287.1
770	CAI3936304.1
771	CAI3936321.1
772	CAI3936340.1
773	CAI3936357.1
774	CAI3936362.1
775	CAI3936380.1
776	CAI3936397.1
777	CAI3936414.1
778	CAI3936432.1
779	CAI3936450.1
780	CAI3936468.1
781	CAI3936487.1
782	CAI3936504.1
783	CAI3936523.1
784	CAI3936540.1
785	CAI3936558.1
786	CAI3936567.1
787	CAI3936584.1
788	CAI3936603.1
789	CAI3936620.1
790	CAI3936638.1
791	CAI3936655.1
792	CAI3936672.1
793	CAI3936689.1
794	CAI3936706.1
795	CAI3936723.1
796	CAI3936741.1
797	CAI3936758.1
798	CAI3936776.1
799	CAI3936795.1
800	CAI3936813.1
801	CAI3936829.1
802	CAI3936847.1
803	CAI3936851.1
804	CAI3936869.1
805	CAI3936887.1
806	CAI3936907.1
807	CAI3936926.1
808	CAI3936943.1
809	CAI3936964.1
810	CAI3936981.1
811	CAI3937003.1
812	CAI3937020.1
813	CAI3937038.1
814	CAI3937049.1
815	CAI3937066.1
816	CAI3937085.1
817	CAI3937102.1
818	CAI3937120.1
819	CAI3937137.1
820	CAI3937154.1
821	CAI3937171.1
822	CAI3937190.1
823	CAI3937207.1
824	CAI3937224.1
825	CAI3937244.1
826	CAI3937261.1
827	CAI3937296.1
828	CAI3937314.1
829	CAI3937332.1
830	CAI3937343.1
831	CAI3937362.1
832	CAI3937380.1
833	CAI3937397.1
834	CAI3937414.1
835	CAI3937419.1
836	CAI3937436.1
837	CAI3937453.1
838	CAI3937470.1
839	CAI3937487.1
840	CAI3937506.1
841	CAI3937523.1
842	CAI3937541.1
843	CAI3937558.1
844	CAI3937575.1
845	CAI3937592.1
846	CAI3937611.1
847	CAI3937629.1
848	CAI3937646.1
849	CAI3937663.1
850	CAI3937680.1
851	CAI3937697.1
852	CAI3937714.1
853	CAI3937732.1
854	CAI3937750.1
855	CAI3937767.1
856	CAI3937784.1
857	CAI3937803.1
858	CAI3937839.1
859	CAI3937845.1
860	CAI3937862.1
861	CAI3937879.1
862	CAI3937896.1
863	CAI3937914.1
864	CAI3937931.1
865	CAI3937938.1
866	CAI3937956.1
867	CAI3937974.1
868	CAI3937978.1
869	CAI3934714.1
870	CAI3938014.1
871	CAI3938033.1
872	CAI3938045.1
873	CAI3938062.1
874	CAI3938079.1
875	CAI3938096.1
876	CAI3938113.1
877	CAI3938129.1
878	CAI3938137.1
879	CAI3938155.1
880	CAI3938172.1
881	CAI3938190.1
882	CAI3938207.1
883	CAI3938224.1
884	CAI3938241.1
885	CAI3938258.1
886	CAI3938277.1
887	CAI3938295.1
888	CAI3938314.1
889	CAI3938331.1
890	CAI3938348.1
891	CAI3938366.1
892	CAI3938370.1
893	CAI3938389.1
894	CAI3938406.1
895	CAI3938423.1
896	CAI3938440.1
897	CAI3938448.1
898	CAI3938466.1
899	CAI3938483.1
900	CAI3938502.1
901	CAI3938520.1
902	CAI3938537.1
903	CAI3938554.1
904	CAI3938572.1
905	CAI3938590.1
906	CAI3938609.1
907	CAI3938626.1
908	CAI3938643.1
909	CAI3938660.1
910	CAI3938677.1
911	CAI3938694.1
912	CAI3938711.1
913	CAI3938728.1
914	CAI3938745.1
915	CAI3938762.1
916	CAI3938779.1
917	CAI3938797.1
918	CAI3938804.1
919	CAI3938821.1
920	CAI3938838.1
921	CAI3938855.1
922	CAI3938859.1
923	CAI3938877.1
924	CAI3938895.1
925	CAI3938914.1
926	CAI3938931.1
927	CAI3938951.1
928	CAI3938971.1
929	CAI3938989.1
930	CAI3939007.1
931	CAI3939025.1
932	CAI3939042.1
933	CAI3939059.1
934	CAI3939077.1
935	CAI3939095.1
936	CAI3939112.1
937	CAI3939129.1
938	CAI3939146.1
939	CAI3939166.1
940	CAI3939175.1
941	CAI3939192.1
942	CAI3939209.1
943	CAI3939227.1
944	CAI3939244.1
945	CAI3939262.1
946	CAI3939280.1
947	CAI3939315.1
948	CAI3939318.1
949	CAI3939336.1
950	CAI3939344.1
951	CAI3939361.1
952	CAI3939378.1
953	CAI3939395.1
954	CAI3939412.1
955	CAI3939418.1
956	CAI3939435.1
957	CAI3939453.1
958	CAI3939473.1
959	CAI3939490.1
960	CAI3939508.1
961	CAI3939526.1
962	CAI3939544.1
963	CAI3939561.1
964	CAI3939578.1
965	CAI3939585.1
966	CAI3939602.1
967	CAI3939604.1
968	CAI3939621.1
969	CAI3939638.1
970	CAI3939655.1
971	CAI3939672.1
972	CAI3939691.1
973	CAI3939709.1
974	CAI3939725.1
975	CAI3939743.1
976	CAI3939762.1
977	CAI3939764.1
978	CAI3939782.1
979	CAI3939801.1
980	CAI3939818.1
981	CAI3939836.1
982	CAI3939855.1
983	CAI3939872.1
984	CAI3939889.1
985	CAI3939907.1
986	CAI3939927.1
987	CAI3939945.1
988	CAI3939947.1
989	CAI3939965.1
990	CAI3939983.1
991	CAI3940000.1
992	CAI3940017.1
993	CAI3940036.1
994	CAI3940051.1
995	CAI3940068.1
996	CAI3940085.1
997	CAI3940102.1
998	CAI3940120.1
999	CAI3940154.1
1000	CAI3940171.1
1001	CAI3940207.1
1002	CAI3940226.1
1003	CAI3940243.1
1004	CAI3940261.1
1005	CAI3940278.1
1006	CAI3940295.1
1007	CAI3940314.1
1008	CAI3940331.1
1009	CAI3940349.1
1010	CAI3940366.1
1011	CAI3940384.1
1012	CAI3940401.1
1013	CAI3940419.1
1014	CAI3940437.1
1015	CAI3940455.1
1016	CAI3932472.1
1017	CAI3940491.1
1018	CAI3940508.1
1019	CAI3940520.1
1020	CAI3940537.1
1021	CAI3940555.1
1022	CAI3940572.1
1023	CAI3940589.1
1024	CAI3940606.1
1025	CAI3940624.1
1026	CAI3940641.1
1027	CAI3940659.1
1028	CAI3940676.1
1029	CAI3940695.1
1030	CAI3940712.1
1031	CAI3940730.1
1032	CAI3940748.1
1033	CAI3940766.1
1034	CAI3940783.1
1035	CAI3940799.1
1036	CAI3940814.1
1037	CAI3940833.1
1038	CAI3940851.1
1040	CAI3940868.1
1041	CAI3940885.1
1042	CAI3940903.1
1043	CAI3940921.1
1044	CAI3940939.1
1045	CAI3940948.1
1046	CAI3940967.1
1047	CAI3940970.1
1048	CAI3940987.1
1049	CAI3941004.1
1050	CAI3941021.1
1051	CAI3941038.1
1052	CAI3941056.1
1053	CAI3941073.1
1054	CAI3941093.1
1055	CAI3941110.1
1056	CAI3941127.1
1057	CAI3941145.1
1058	CAI3941162.1
1059	CAI3941179.1
1060	CAI3941196.1
1061	CAI3941216.1
1062	CAI3941235.1
1063	CAI3941253.1
1064	CAI3941271.1
1065	CAI3941288.1
1066	CAI3941305.1
1067	CAI3941321.1
1068	CAI3941338.1
1069	CAI3941355.1
1070	CAI3941373.1
1071	CAI3941390.1
1072	CAI3941407.1
1073	CAI3941424.1
1074	CAI3941442.1
1075	CAI3941451.1
1076	CAI3941468.1
1077	CAI3941485.1
1078	CAI3941502.1
1079	CAI3941519.1
1080	CAI3941537.1
1081	CAI3941554.1
1082	CAI3941572.1
1083	CAI3941591.1
1084	CAI3941610.1
1085	CAI3941627.1
1086	CAI3941646.1
1087	CAI3941663.1
1088	CAI3941680.1
1089	CAI3934714.1
1090	CAI3941715.1
1091	CAI3941734.1
1092	CAI3941743.1
1093	CAI3941761.1
1094	CAI3941778.1
1095	CAI3941797.1
1096	CAI3941814.1
1097	CAI3941831.1
1098	CAI3941848.1
1099	CAI3941854.1
1100	CAI3941872.1
1101	CAI3941889.1
1102	CAI3941896.1
1103	CAI3941913.1
1104	CAI3941932.1
1105	CAI3941949.1
1106	CAI3941966.1
1107	CAI3941970.1
1108	CAI3941987.1
1109	CAI3942005.1
1110	CAI3942023.1
1111	CAI3942040.1
1112	CAI3942058.1
1113	CAI3942076.1
1114	CAI3942095.1
1115	CAI3942113.1
1116	CAI3942130.1
1117	CAI3942148.1
1118	CAI3942167.1
1119	CAI3942185.1
1120	CAI3942202.1
1121	CAI3942221.1
1122	CAI3942238.1
1123	CAI3942255.1
1124	CAI3942272.1
1125	CAI3942289.1
1126	CAI3942307.1
1127	CAI3942324.1
1128	CAI3942343.1
1129	CAI3942360.1
1130	CAI3942377.1
1131	CAI3942394.1
1132	CAI3942413.1
1133	CAI3942430.1
1134	CAI3942448.1
1135	CAI3942468.1
1136	CAI3942476.1
1137	CAI3942493.1
1138	CAI3942512.1
1139	CAI3942530.1
1140	CAI3942549.1
1141	CAI3942566.1
1142	CAI3942583.1
1143	CAI3942600.1
1144	CAI3942618.1
1145	CAI3942636.1
1146	CAI3942654.1
1147	CAI3942673.1
1148	CAI3942690.1
1149	CAI3942698.1
1150	CAI3942716.1
1151	CAI3942733.1
1152	CAI3942745.1
1153	CAI3942755.1
1154	CAI3942772.1
1155	CAI3942789.1
1156	CAI3942806.1
1157	CAI3942823.1
1158	CAI3942842.1
1159	CAI3942860.1
1160	CAI3942878.1
1161	CAI3942895.1
1162	CAI3942912.1
1163	CAI3942930.1
1164	CAI3942947.1
1165	CAI3942964.1
1166	CAI3942981.1
1167	CAI3942998.1
1168	CAI3943015.1
1169	CAI3943032.1
1170	CAI3943049.1
1171	CAI3943067.1
1172	CAI3943084.1
1173	CAI3943093.1
1174	CAI3943111.1
1175	CAI3943128.1
1176	CAI3943146.1
1177	CAI3943165.1
1178	CAI3943182.1
1179	CAI3943201.1
1180	CAI3943218.1
1181	CAI3943235.1
1182	CAI3943252.1
1183	CAI3943269.1
1184	CAI3943297.1
1185	CAI3943315.1
1186	CAI3943332.1
1187	CAI3943350.1
1188	CAI3943367.1
1189	CAI3943385.1
1190	CAI3943402.1
1191	CAI3943412.1
1192	CAI3943429.1
1193	CAI3943448.1
1194	CAI3943465.1
1195	CAI3943476.1
1196	CAI3943493.1
1197	CAI3943512.1
1198	CAI3943529.1
1199	CAI3943548.1
1200	CAI3943565.1
1201	CAI3943583.1
1202	CAI3943601.1
1203	CAI3943618.1
1204	CAI3943635.1
1205	CAI3943652.1
1206	CAI3943669.1
1207	CAI3943686.1
1208	CAI3943703.1
1209	CAI3943720.1
1210	CAI3943729.1
1211	CAI3943747.1
1212	CAI3943764.1
1213	CAI3943801.1
1214	CAI3943819.1
1215	CAI3943837.1
1216	CAI3943854.1
1217	CAI3943871.1
1218	CAI3943891.1
1219	CAI3943908.1
1220	CAI3943925.1
1221	CAI3943944.1
1222	CAI3943963.1
1223	CAI3943980.1
1224	CAI3943998.1
1225	CAI3944016.1
1226	CAI3944034.1
1227	CAI3944052.1
1228	CAI3944069.1
1229	CAI3944085.1
1230	CAI3944102.1
1231	CAI3944119.1
1232	CAI3944137.1
1233	CAI3944154.1
1234	CAI3944171.1
1235	CAI3944189.1
1236	CAI3944206.1
1237	CAI3944223.1
1238	CAI3944230.1
1239	CAI3944247.1
1240	CAI3944264.1
1241	CAI3944280.1
1242	CAI3944298.1
1243	CAI3944316.1
1244	CAI3944331.1
1245	CAI3944348.1
1246	CAI3944365.1
1247	CAI3944377.1
1248	CAI3944395.1
1249	CAI3944420.1
1250	CAI3944437.1
1251	CAI3944451.1
1252	CAI3944470.1
1253	CAI3944488.1
