gene_callers_id	Accession
170	VTP50168.1
171	VTP50169.1
172	VTP50170.1
173	VTP50171.1
174	VTP50172.1
175	VTP50173.1
176	VTP50174.1
177	VTP50175.1
178	VTP54123.1
179	VTP50177.1
180	VTP50178.1
181	VTP50179.1
182	VTP50180.1
183	VTP50181.1
184	VTP50182.1
185	VTP50183.1
186	VTP50184.1
187	VTP50185.1
188	VTP50186.1
189	VTP50187.1
190	VTP54123.1
191	VTP50189.1
192	VTP50190.1
193	VTP50191.1
194	VTP50192.1
195	VTP50193.1
196	VTP50194.1
197	VTP50195.1
198	VTP50196.1
199	VTP50197.1
200	VTP50198.1
201	VTP50199.1
202	VTP50200.1
203	VTP50201.1
204	VTP50202.1
205	VTP50203.1
206	VTP50204.1
207	VTP50205.1
208	VTP50206.1
209	VTP50207.1
210	VTP50208.1
211	VTP50209.1
212	VTP50210.1
213	VTP50211.1
214	VTP50212.1
215	VTP50213.1
216	VTP50214.1
217	VTP50215.1
218	VTP50216.1
219	VTP50217.1
220	VTP50218.1
221	VTP50219.1
222	VTP50220.1
223	VTP50221.1
224	VTP50222.1
225	VTP50223.1
226	VTP50224.1
227	VTP50225.1
228	VTP50226.1
229	VTP50227.1
230	VTP50228.1
231	VTP50229.1
232	VTP50230.1
233	VTP50231.1
234	VTP50232.1
235	VTP50233.1
236	VTP50234.1
237	VTP50236.1
238	VTP50237.1
240	VTP50239.1
241	VTP50240.1
242	VTP50241.1
243	VTP50242.1
244	VTP50243.1
245	VTP50244.1
246	VTP50245.1
247	VTP50246.1
248	VTP50247.1
249	VTP50248.1
250	VTP50249.1
251	VTP50250.1
252	VTP50251.1
253	VTP50252.1
254	VTP50253.1
255	VTP50254.1
256	VTP50255.1
257	VTP50256.1
258	VTP50257.1
259	VTP50258.1
260	VTP50259.1
261	VTP50260.1
262	VTP50261.1
263	VTP50262.1
264	VTP50263.1
265	VTP50264.1
266	VTP50265.1
267	VTP50266.1
268	VTP50267.1
269	VTP50268.1
270	VTP50269.1
271	VTP50270.1
272	VTP50271.1
273	VTP50272.1
274	VTP50273.1
275	VTP50274.1
276	VTP50275.1
277	VTP50276.1
278	VTP50277.1
279	VTP50278.1
280	VTP50279.1
281	VTP50280.1
282	VTP50281.1
283	VTP50282.1
284	VTP50283.1
285	VTP50284.1
286	VTP50285.1
287	VTP50286.1
288	VTP50287.1
289	VTP50288.1
290	VTP50289.1
291	VTP50290.1
292	VTP50291.1
293	VTP50292.1
294	VTP50293.1
295	VTP50294.1
296	VTP50295.1
297	VTP50297.1
298	VTP50298.1
299	VTP50299.1
300	VTP50300.1
301	VTP50301.1
302	VTP50302.1
303	VTP50303.1
304	VTP50304.1
305	VTP50305.1
306	VTP50306.1
307	VTP50307.1
308	VTP55145.1
309	VTP50232.1
310	VTP50310.1
311	VTP50311.1
312	VTP50312.1
313	VTP50313.1
314	VTP50314.1
315	VTP50315.1
316	VTP50317.1
317	VTP50319.1
318	VTP50320.1
319	VTP50321.1
320	VTP50322.1
321	VTP50323.1
322	VTP50324.1
323	VTP50325.1
324	VTP50326.1
325	VTP50327.1
326	VTP50328.1
327	VTP50329.1
328	VTP50331.1
329	VTP50332.1
330	VTP50333.1
331	VTP50334.1
332	VTP50335.1
333	VTP50336.1
334	VTP50337.1
335	VTP54123.1
336	VTP50339.1
337	VTP50340.1
338	VTP50341.1
339	VTP50342.1
340	VTP50343.1
341	VTP50344.1
342	VTP50345.1
343	VTP50346.1
344	VTP50347.1
345	VTP50348.1
346	VTP50349.1
347	VTP50350.1
348	VTP50351.1
349	VTP50352.1
350	VTP50353.1
351	VTP50354.1
352	VTP50355.1
353	VTP50356.1
354	VTP50357.1
355	VTP50358.1
356	VTP50359.1
357	VTP50360.1
358	VTP50361.1
359	VTP50362.1
360	VTP50363.1
361	VTP50364.1
362	VTP50365.1
363	VTP50366.1
364	VTP50367.1
365	VTP50368.1
366	VTP50369.1
367	VTP50370.1
368	VTP50371.1
369	VTP50372.1
370	VTP50373.1
371	VTP50374.1
372	VTP50375.1
373	VTP50376.1
374	VTP50377.1
375	VTP50378.1
376	VTP50379.1
378	VTP50380.1
379	VTP50381.1
380	VTP50382.1
381	VTP50383.1
382	VTP50384.1
383	VTP50385.1
384	VTP50386.1
385	VTP50387.1
386	VTP50388.1
387	VTP50389.1
388	VTP50390.1
389	VTP50391.1
390	VTP50392.1
391	VTP50393.1
392	VTP50394.1
393	VTP50395.1
394	VTP50396.1
395	VTP50397.1
396	VTP50398.1
397	VTP50399.1
398	VTP50400.1
399	VTP50401.1
400	VTP50402.1
401	VTP54123.1
402	VTP50404.1
403	VTP50405.1
404	VTP50406.1
405	VTP50407.1
406	VTP50408.1
407	VTP50409.1
408	VTP50410.1
409	VTP50411.1
410	VTP50412.1
411	VTP50413.1
413	VTP55588.1
414	VTP50415.1
415	VTP50416.1
416	VTP50417.1
417	VTP50418.1
418	VTP50419.1
419	VTP50420.1
420	VTP50421.1
421	VTP50422.1
422	VTP50423.1
423	VTP50424.1
424	VTP50425.1
425	VTP50426.1
426	VTP50427.1
427	VTP50428.1
428	VTP50429.1
429	VTP50430.1
430	VTP50431.1
431	VTP50432.1
432	VTP50433.1
433	VTP50434.1
434	VTP50435.1
435	VTP50436.1
436	VTP50437.1
437	VTP50438.1
438	VTP50439.1
439	VTP50440.1
440	VTP50441.1
441	VTP50442.1
443	VTP50747.1
445	VTP55415.1
446	VTP50445.1
447	VTP50446.1
448	VTP50447.1
449	VTP50448.1
450	VTP50449.1
451	VTP50450.1
452	VTP50451.1
453	VTP50452.1
454	VTP50453.1
455	VTP50454.1
456	VTP50455.1
457	VTP50456.1
458	VTP50457.1
459	VTP50458.1
460	VTP50459.1
461	VTP50460.1
462	VTP50461.1
463	VTP50462.1
464	VTP50463.1
465	VTP50464.1
466	VTP50465.1
467	VTP50466.1
468	VTP50467.1
469	VTP50468.1
470	VTP50469.1
471	VTP50470.1
472	VTP50471.1
473	VTP50472.1
474	VTP50473.1
475	VTP50474.1
476	VTP50475.1
477	VTP50476.1
478	VTP50477.1
479	VTP50478.1
480	VTP50479.1
481	VTP50480.1
482	VTP50481.1
483	VTP50482.1
484	VTP50483.1
485	VTP50484.1
486	VTP50485.1
487	VTP50486.1
488	VTP50487.1
489	VTP50488.1
490	VTP50489.1
491	VTP50490.1
492	VTP50491.1
493	VTP50492.1
494	VTP50493.1
495	VTP50494.1
496	VTP50495.1
497	VTP54123.1
498	VTP50497.1
499	VTP50498.1
500	VTP50499.1
501	VTP50500.1
502	VTP50501.1
503	VTP50502.1
504	VTP50503.1
505	VTP50504.1
506	VTP50505.1
507	VTP50506.1
508	VTP50507.1
509	VTP50508.1
510	VTP50509.1
511	VTP50510.1
512	VTP50511.1
513	VTP50512.1
514	VTP50513.1
515	VTP50514.1
516	VTP50515.1
517	VTP50516.1
518	VTP50517.1
519	VTP50518.1
520	VTP50519.1
521	VTP50520.1
522	VTP50521.1
523	VTP50522.1
524	VTP50523.1
525	VTP50524.1
526	VTP50525.1
527	VTP50526.1
528	VTP50527.1
529	VTP50528.1
530	VTP50529.1
531	VTP50530.1
532	VTP50531.1
533	VTP50532.1
534	VTP50533.1
535	VTP50534.1
536	VTP50535.1
537	VTP50536.1
538	VTP50537.1
539	VTP50538.1
540	VTP50539.1
541	VTP50540.1
542	VTP50541.1
543	VTP50542.1
544	VTP50543.1
545	VTP50544.1
546	VTP50545.1
547	VTP54239.1
548	VTP50547.1
549	VTP50548.1
550	VTP50549.1
551	VTP50550.1
552	VTP50551.1
553	VTP50552.1
554	VTP50553.1
555	VTP50554.1
556	VTP50555.1
557	VTP50556.1
558	VTP50557.1
559	VTP50558.1
560	VTP50559.1
561	VTP50560.1
562	VTP50561.1
563	VTP50562.1
564	VTP50563.1
565	VTP50564.1
566	VTP50565.1
567	VTP50566.1
568	VTP50567.1
569	VTP50568.1
570	VTP50569.1
571	VTP50570.1
572	VTP50571.1
573	VTP50572.1
574	VTP50573.1
575	VTP50574.1
576	VTP50575.1
577	VTP50576.1
578	VTP50577.1
579	VTP50578.1
580	VTP50579.1
581	VTP50580.1
582	VTP50581.1
583	VTP50582.1
584	VTP50583.1
585	VTP50584.1
586	VTP50585.1
587	VTP50586.1
588	VTP50587.1
589	VTP50588.1
590	VTP50589.1
591	VTP53807.1
592	VTP53805.1
593	VTP53803.1
594	VTP53801.1
595	VTP53773.1
596	VTP50595.1
597	VTP50596.1
598	VTP50597.1
599	VTP50598.1
600	VTP50599.1
601	VTP50600.1
602	VTP50601.1
603	VTP50602.1
604	VTP50603.1
605	VTP50604.1
606	VTP50605.1
607	VTP50606.1
608	VTP50607.1
609	VTP50608.1
610	VTP50609.1
611	VTP50610.1
612	VTP50611.1
613	VTP50612.1
614	VTP50613.1
615	VTP50614.1
616	VTP50615.1
617	VTP50616.1
618	VTP50617.1
619	VTP50618.1
620	VTP50619.1
621	VTP50620.1
622	VTP50621.1
623	VTP50622.1
624	VTP50623.1
625	VTP50624.1
626	VTP50625.1
627	VTP50626.1
628	VTP50627.1
629	VTP50628.1
630	VTP50629.1
631	VTP50630.1
632	VTP50631.1
633	VTP50632.1
634	VTP50633.1
635	VTP50634.1
636	VTP50635.1
637	VTP50636.1
638	VTP50637.1
639	VTP50638.1
640	VTP50639.1
641	VTP50640.1
642	VTP50641.1
643	VTP50642.1
644	VTP50643.1
645	VTP50644.1
646	VTP50645.1
647	VTP50646.1
648	VTP50647.1
649	VTP50648.1
650	VTP50649.1
651	VTP50650.1
652	VTP50651.1
653	VTP50652.1
654	VTP50653.1
655	VTP50654.1
656	VTP50655.1
657	VTP50656.1
658	VTP50657.1
659	VTP50658.1
660	VTP50659.1
661	VTP50660.1
662	VTP50661.1
663	VTP50662.1
665	VTP50663.1
666	VTP50664.1
667	VTP50665.1
668	VTP50666.1
669	VTP50667.1
670	VTP50668.1
671	VTP50669.1
672	VTP50670.1
673	VTP50671.1
674	VTP50672.1
675	VTP50673.1
676	VTP50674.1
677	VTP54750.1
678	VTP50676.1
679	VTP50677.1
680	VTP50678.1
681	VTP50679.1
682	VTP50680.1
683	VTP50681.1
684	VTP50682.1
685	VTP50683.1
686	VTP50684.1
687	VTP50685.1
688	VTP50686.1
689	VTP50687.1
690	VTP50688.1
691	VTP50689.1
692	VTP50690.1
693	VTP50691.1
694	VTP50692.1
695	VTP50693.1
696	VTP50694.1
697	VTP50695.1
698	VTP50696.1
699	VTP50697.1
700	VTP50698.1
701	VTP50699.1
702	VTP50700.1
703	VTP50701.1
704	VTP50702.1
705	VTP50703.1
706	VTP50704.1
707	VTP50705.1
708	VTP50706.1
709	VTP50707.1
710	VTP50708.1
711	VTP50709.1
712	VTP50710.1
713	VTP50711.1
714	VTP50712.1
715	VTP50713.1
716	VTP50715.1
717	VTP50716.1
718	VTP50717.1
719	VTP50718.1
720	VTP50719.1
721	VTP50720.1
722	VTP50721.1
723	VTP50722.1
724	VTP50723.1
725	VTP50724.1
726	VTP50725.1
727	VTP50726.1
728	VTP50727.1
729	VTP50728.1
730	VTP50729.1
731	VTP50730.1
732	VTP50731.1
733	VTP50732.1
734	VTP50733.1
735	VTP50734.1
736	VTP50735.1
737	VTP50736.1
738	VTP50737.1
739	VTP50738.1
740	VTP50739.1
741	VTP50740.1
742	VTP50741.1
743	VTP50742.1
744	VTP50743.1
745	VTP50744.1
746	VTP50745.1
747	VTP50746.1
748	VTP50747.1
750	VTP50748.1
751	VTP50749.1
752	VTP50750.1
753	VTP50751.1
754	VTP50752.1
755	VTP50753.1
756	VTP50754.1
757	VTP50755.1
758	VTP50756.1
759	VTP50757.1
760	VTP50758.1
761	VTP50759.1
762	VTP50760.1
763	VTP50761.1
764	VTP50762.1
765	VTP50763.1
766	VTP50764.1
767	VTP50765.1
768	VTP50766.1
769	VTP50767.1
770	VTP50768.1
771	VTP50769.1
772	VTP50770.1
773	VTP50771.1
774	VTP50772.1
775	VTP50773.1
776	VTP50774.1
777	VTP50775.1
778	VTP50776.1
779	VTP50777.1
780	VTP50778.1
781	VTP50779.1
782	VTP50780.1
783	VTP50781.1
784	VTP50782.1
785	VTP50783.1
786	VTP50784.1
787	VTP50785.1
788	VTP50786.1
789	VTP50787.1
790	VTP50788.1
791	VTP50789.1
792	VTP50790.1
793	VTP50791.1
794	VTP50792.1
795	VTP50793.1
796	VTP50794.1
797	VTP50795.1
798	VTP50796.1
799	VTP50797.1
800	VTP50798.1
801	VTP50799.1
802	VTP50800.1
803	VTP50801.1
804	VTP50802.1
805	VTP50803.1
806	VTP50804.1
807	VTP50805.1
808	VTP50806.1
809	VTP50807.1
810	VTP50808.1
811	VTP50809.1
812	VTP50810.1
813	VTP50811.1
814	VTP50812.1
815	VTP50813.1
816	VTP50814.1
817	VTP50815.1
818	VTP50816.1
819	VTP50817.1
820	VTP50818.1
821	VTP50819.1
822	VTP50820.1
823	VTP50821.1
824	VTP50822.1
825	VTP50823.1
826	VTP50824.1
827	VTP50826.1
828	VTP50827.1
829	VTP50828.1
830	VTP50829.1
831	VTP50830.1
832	VTP50831.1
833	VTP50832.1
834	VTP50833.1
835	VTP50834.1
836	VTP50835.1
837	VTP50836.1
838	VTP50837.1
839	VTP50838.1
840	VTP50839.1
841	VTP50840.1
842	VTP50841.1
843	VTP50842.1
844	VTP50843.1
845	VTP50844.1
846	VTP50845.1
847	VTP50846.1
848	VTP50847.1
849	VTP50848.1
850	VTP50849.1
851	VTP50850.1
852	VTP50851.1
853	VTP50852.1
854	VTP50853.1
855	VTP50854.1
856	VTP50855.1
857	VTP50856.1
858	VTP50858.1
859	VTP50859.1
860	VTP50860.1
861	VTP50861.1
862	VTP50862.1
863	VTP50863.1
864	VTP50864.1
865	VTP50865.1
866	VTP50866.1
867	VTP50867.1
868	VTP50868.1
869	VTP54750.1
870	VTP50870.1
871	VTP50871.1
872	VTP50872.1
873	VTP50873.1
874	VTP50874.1
875	VTP50875.1
876	VTP50876.1
877	VTP50877.1
878	VTP50878.1
879	VTP50879.1
880	VTP50880.1
881	VTP50881.1
882	VTP50882.1
883	VTP50883.1
884	VTP50884.1
885	VTP50885.1
886	VTP50886.1
887	VTP50887.1
888	VTP50888.1
889	VTP50889.1
890	VTP50890.1
891	VTP50891.1
892	VTP50892.1
893	VTP50893.1
894	VTP50894.1
895	VTP50895.1
896	VTP50896.1
897	VTP50897.1
898	VTP50898.1
899	VTP50899.1
900	VTP50900.1
901	VTP50901.1
902	VTP50902.1
903	VTP50903.1
904	VTP50904.1
905	VTP50905.1
906	VTP50906.1
907	VTP50907.1
908	VTP50908.1
909	VTP50909.1
910	VTP50910.1
911	VTP50911.1
912	VTP50912.1
913	VTP50913.1
914	VTP50914.1
915	VTP50915.1
916	VTP50916.1
917	VTP50917.1
918	VTP50918.1
919	VTP50919.1
920	VTP50920.1
921	VTP50921.1
922	VTP50922.1
923	VTP50923.1
924	VTP50924.1
925	VTP50925.1
926	VTP50926.1
927	VTP50927.1
928	VTP50928.1
929	VTP50929.1
930	VTP50930.1
931	VTP50931.1
932	VTP50932.1
933	VTP50933.1
934	VTP50934.1
935	VTP50935.1
936	VTP50936.1
937	VTP50937.1
938	VTP50938.1
939	VTP50939.1
940	VTP50940.1
941	VTP50941.1
942	VTP50942.1
943	VTP50943.1
944	VTP50944.1
945	VTP50945.1
946	VTP50946.1
947	VTP50948.1
948	VTP50949.1
949	VTP50950.1
950	VTP50951.1
951	VTP50952.1
952	VTP50953.1
953	VTP50954.1
954	VTP50955.1
955	VTP50956.1
956	VTP50957.1
957	VTP50958.1
958	VTP50959.1
959	VTP50960.1
960	VTP50961.1
961	VTP50962.1
962	VTP50963.1
963	VTP50964.1
964	VTP50965.1
965	VTP50966.1
966	VTP50967.1
967	VTP50968.1
968	VTP50969.1
969	VTP50970.1
970	VTP50971.1
971	VTP50972.1
972	VTP50973.1
973	VTP50974.1
974	VTP50975.1
975	VTP50976.1
976	VTP50977.1
977	VTP50978.1
978	VTP50979.1
979	VTP50980.1
980	VTP50981.1
981	VTP50982.1
982	VTP50983.1
983	VTP50984.1
984	VTP50985.1
985	VTP50986.1
986	VTP50987.1
987	VTP50988.1
988	VTP50989.1
989	VTP50990.1
990	VTP50991.1
991	VTP50992.1
992	VTP50993.1
993	VTP50994.1
994	VTP50995.1
995	VTP50996.1
996	VTP50997.1
997	VTP50998.1
998	VTP50999.1
999	VTP51001.1
1000	VTP51002.1
1001	VTP51004.1
1002	VTP51005.1
1003	VTP51006.1
1004	VTP51007.1
1005	VTP51008.1
1006	VTP51009.1
1007	VTP51010.1
1008	VTP51011.1
1009	VTP51012.1
1010	VTP51013.1
1011	VTP51014.1
1012	VTP51015.1
1013	VTP51016.1
1014	VTP51017.1
1015	VTP51018.1
1016	VTP54239.1
1017	VTP51020.1
1018	VTP51021.1
1019	VTP51022.1
1020	VTP51023.1
1021	VTP51024.1
1022	VTP51025.1
1023	VTP51026.1
1024	VTP51027.1
1025	VTP51028.1
1026	VTP51029.1
1027	VTP51030.1
1028	VTP51031.1
1029	VTP51032.1
1030	VTP51033.1
1031	VTP51034.1
1032	VTP51035.1
1033	VTP51036.1
1034	VTP51037.1
1035	VTP51038.1
1036	VTP51039.1
1037	VTP51040.1
1038	VTP51041.1
1040	VTP51042.1
1041	VTP51043.1
1042	VTP51044.1
1043	VTP51045.1
1044	VTP51046.1
1045	VTP51047.1
1046	VTP51048.1
1047	VTP51049.1
1048	VTP51050.1
1049	VTP51051.1
1050	VTP51052.1
1051	VTP51053.1
1052	VTP51054.1
1053	VTP51055.1
1054	VTP51056.1
1055	VTP51057.1
1056	VTP51058.1
1057	VTP51059.1
1058	VTP51060.1
1059	VTP51061.1
1060	VTP51062.1
1061	VTP51063.1
1062	VTP51064.1
1063	VTP51065.1
1064	VTP51066.1
1065	VTP51067.1
1066	VTP51068.1
1067	VTP51069.1
1068	VTP51070.1
1069	VTP51071.1
1070	VTP51072.1
1071	VTP51073.1
1072	VTP51074.1
1073	VTP51075.1
1074	VTP51076.1
1075	VTP51077.1
1076	VTP51078.1
1077	VTP51079.1
1078	VTP51080.1
1079	VTP51081.1
1080	VTP51082.1
1081	VTP51083.1
1082	VTP51084.1
1083	VTP51085.1
1084	VTP51086.1
1085	VTP51087.1
1086	VTP51088.1
1087	VTP51089.1
1088	VTP51090.1
1089	VTP54750.1
1090	VTP51092.1
1091	VTP51093.1
1092	VTP51094.1
1093	VTP51095.1
1094	VTP51096.1
1095	VTP51097.1
1096	VTP51098.1
1097	VTP51099.1
1098	VTP51100.1
1099	VTP51101.1
1100	VTP51102.1
1101	VTP51103.1
1102	VTP51104.1
1103	VTP51105.1
1104	VTP51106.1
1105	VTP51107.1
1106	VTP51108.1
1107	VTP51109.1
1108	VTP51110.1
1109	VTP51111.1
1110	VTP51112.1
1111	VTP51113.1
1112	VTP51114.1
1113	VTP51115.1
1114	VTP51116.1
1115	VTP51117.1
1116	VTP51118.1
1117	VTP51119.1
1118	VTP51120.1
1119	VTP51121.1
1120	VTP51122.1
1121	VTP51123.1
1122	VTP51124.1
1123	VTP51125.1
1124	VTP51126.1
1125	VTP51127.1
1126	VTP51128.1
1127	VTP51129.1
1128	VTP51130.1
1129	VTP51131.1
1130	VTP51132.1
1131	VTP51133.1
1132	VTP51134.1
1133	VTP51135.1
1134	VTP51136.1
1135	VTP51137.1
1136	VTP51138.1
1137	VTP51139.1
1138	VTP51140.1
1139	VTP51141.1
1140	VTP51142.1
1141	VTP51143.1
1142	VTP51144.1
1143	VTP51145.1
1144	VTP51146.1
1145	VTP51147.1
1146	VTP51148.1
1147	VTP51149.1
1148	VTP51150.1
1149	VTP51151.1
1150	VTP51152.1
1151	VTP51153.1
1152	VTP51154.1
1153	VTP51155.1
1154	VTP51156.1
1155	VTP51157.1
1156	VTP51158.1
1157	VTP51159.1
1158	VTP51160.1
1159	VTP51161.1
1160	VTP51162.1
1161	VTP51163.1
1162	VTP51164.1
1163	VTP51165.1
1164	VTP51166.1
1165	VTP51167.1
1166	VTP51168.1
1167	VTP51169.1
1168	VTP51170.1
1169	VTP51171.1
1170	VTP51172.1
1171	VTP51173.1
1172	VTP51174.1
1173	VTP51175.1
1174	VTP51176.1
1175	VTP51177.1
1176	VTP51178.1
1177	VTP51179.1
1178	VTP51180.1
1179	VTP51181.1
1180	VTP51182.1
1181	VTP51183.1
1182	VTP51184.1
1183	VTP51185.1
1184	VTP51187.1
1185	VTP51188.1
1186	VTP51189.1
1187	VTP51190.1
1188	VTP51191.1
1189	VTP51192.1
1190	VTP51193.1
1191	VTP51194.1
1192	VTP51195.1
1193	VTP51196.1
1194	VTP51197.1
1195	VTP51198.1
1196	VTP51199.1
1197	VTP51200.1
1198	VTP51201.1
1199	VTP51202.1
1200	VTP51203.1
1201	VTP51204.1
1202	VTP51205.1
1203	VTP51206.1
1204	VTP51207.1
1205	VTP51208.1
1206	VTP51209.1
1207	VTP51210.1
1208	VTP51211.1
1209	VTP51212.1
1210	VTP51213.1
1211	VTP51214.1
1212	VTP51215.1
1213	VTP51217.1
1214	VTP51218.1
1215	VTP51219.1
1216	VTP51220.1
1217	VTP51221.1
1218	VTP51222.1
1219	VTP51223.1
1220	VTP51224.1
1221	VTP51225.1
1222	VTP51226.1
1223	VTP51227.1
1224	VTP51228.1
1225	VTP51229.1
1226	VTP51230.1
1227	VTP51231.1
1228	VTP51232.1
1229	VTP51233.1
1230	VTP51234.1
1231	VTP51235.1
1232	VTP51236.1
1233	VTP51237.1
1234	VTP51238.1
1235	VTP51239.1
1236	VTP51240.1
1237	VTP51241.1
1238	VTP51242.1
1239	VTP51243.1
1240	VTP51244.1
1241	VTP51245.1
1242	VTP51246.1
1243	VTP51247.1
1244	VTP51248.1
1245	VTP51249.1
1246	VTP51250.1
1247	VTP51251.1
1248	VTP51252.1
1249	VTP51254.1
1250	VTP51255.1
1251	VTP51256.1
1252	VTP51258.1
1253	VTP51260.1
1254	VTP51262.1
1255	VTP51264.1
1256	VTP51266.1
1257	VTP51268.1
1258	VTP51270.1
1259	VTP51272.1
1260	VTP51274.1
1261	VTP51276.1
1262	VTP51278.1
1263	VTP51280.1
1264	VTP51282.1
1265	VTP51284.1
1266	VTP51286.1
1267	VTP51288.1
1268	VTP51290.1
1269	VTP51292.1
1270	VTP51294.1
1271	VTP51296.1
1272	VTP51298.1
1273	VTP51300.1
1274	VTP51302.1
1275	VTP51304.1
1276	VTP51306.1
1277	VTP51308.1
1278	VTP51310.1
1279	VTP51312.1
1280	VTP51314.1
1281	VTP51316.1
1282	VTP51318.1
1283	VTP51320.1
1284	VTP51322.1
1285	VTP51324.1
1286	VTP51326.1
1287	VTP51328.1
1288	VTP51330.1
1289	VTP51332.1
1290	VTP51334.1
1291	VTP51336.1
1292	VTP51338.1
1293	VTP51340.1
1294	VTP51342.1
1295	VTP51344.1
1296	VTP51346.1
1297	VTP51348.1
1298	VTP51350.1
1299	VTP51352.1
1300	VTP51354.1
1301	VTP51356.1
1302	VTP51358.1
1303	VTP51360.1
1304	VTP51362.1
1305	VTP51364.1
1306	VTP51366.1
1307	VTP51368.1
1308	VTP51370.1
1309	VTP51372.1
1310	VTP51374.1
1311	VTP51376.1
1312	VTP51378.1
1313	VTP51380.1
1314	VTP51382.1
1315	VTP51384.1
1316	VTP51386.1
1317	VTP51388.1
1318	VTP51390.1
1319	VTP51392.1
1320	VTP51394.1
1321	VTP51396.1
1322	VTP51398.1
1323	VTP51400.1
1324	VTP51402.1
1325	VTP51404.1
1326	VTP51406.1
1327	VTP51408.1
1328	VTP51410.1
1329	VTP51412.1
1330	VTP51414.1
1331	VTP51416.1
1332	VTP51418.1
1333	VTP51420.1
1334	VTP51422.1
1335	VTP51424.1
1336	VTP51426.1
1337	VTP51428.1
1338	VTP51430.1
1339	VTP51432.1
1340	VTP51434.1
1341	VTP51436.1
1342	VTP51438.1
1343	VTP51440.1
1344	VTP51442.1
1345	VTP51444.1
1346	VTP51446.1
1347	VTP51448.1
1348	VTP51450.1
1349	VTP51452.1
1350	VTP51454.1
1351	VTP51456.1
1352	VTP51458.1
1353	VTP51460.1
1354	VTP51462.1
1355	VTP51464.1
1356	VTP51466.1
1357	VTP51468.1
1358	VTP51470.1
1359	VTP51472.1
1360	VTP51474.1
1361	VTP51476.1
1362	VTP51478.1
1363	VTP51480.1
1364	VTP51482.1
1365	VTP51484.1
1366	VTP51486.1
1367	VTP51488.1
1368	VTP51490.1
1369	VTP51492.1
